iter	Passed	Remaining
546	49386	86043
547	49470	85941
548	49557	85846
549	49654	85767
550	49736	85663
551	49804	85534
552	49890	85436
553	49986	85355
554	50076	85264
555	50220	85265
556	50333	85214
557	50436	85145
558	50526	85055
559	50620	84969
560	50717	84890
561	50809	84803
562	50876	84673
563	50969	84588
564	51056	84491
565	51162	84427
566	51254	84340
567	51359	84272
568	51469	84215
569	51591	84175
570	51680	84083
571	51767	83986
572	51849	83881
573	51932	83780
574	52033	83706
575	52131	83626
576	52223	83540
577	52313	83448
578	52403	83356
579	52490	83261
580	52578	83166
581	52681	83094
582	52784	83024
583	52868	82924
584	52964	82841
585	53055	82751
586	53142	82656
587	53237	82572
588	53335	82493
589	53444	82431
590	53531	82335
591	53623	82246
592	53702	82139
593	53809	82073
594	53900	81982
595	53987	81887
596	54070	81785
597	54144	81670
598	54234	81578
599	54323	81485
600	54407	81384
601	54483	81272
602	54566	81170
603	54652	81073
604	54743	80983
605	54811	80860
606	54888	80750
607	54982	80664
608	55085	80592
609	55184	80515
610	55279	80431
611	55364	80333
612	55445	80229
613	55550	80158
614	55644	80073
615	55712	79951
616	55795	79849
617	55889	79765
618	55986	79683
619	56078	79595
620	56153	79482
621	56237	79383
622	56337	79307
623	56432	79221
624	56613	79259
625	56729	79203
626	56827	79122
627	56939	79062
628	57049	78998
629	57147	78917
630	57249	78843
631	57327	78734
632	57429	78659
633	57549	78609
634	57720	78627
635	57877	78626
636	57999	78576
637	58138	78550
638	58230	78460
639	58317	78364
640	58418	78286
641	58516	78204
642	58585	78083
643	58641	77945
644	58731	77853
645	58820	77759
646	58924	77685
647	59017	77596
648	59113	77511
649	59207	77425
650	59296	77331
651	59365	77210
652	59460	77126
653	59544	77024
654	59643	76945
655	59719	76834
656	59813	76747
657	59869	76610
658	59949	76505
659	60030	76401
660	60119	76308
661	60203	76209
662	60275	76094
663	60367	76004
664	60451	75904
665	60537	75807
666	60633	75723
667	60723	75631
668	60809	75535
669	60895	75437
670	60989	75351
671	61076	75254
672	61170	75167
673	61248	75060
674	61348	74981
675	61439	74890
676	61538	74809
677	61641	74733
678	61737	74648
679	61774	74492
680	61892	74435
681	61981	74341
682	62053	74227
683	62100	74084
684	62166	73964
685	62281	73902
686	62369	73808
687	62456	73713
688	62548	73624
689	62638	73531
690	62716	73426
691	62810	73339
692	62959	73316
693	63052	73228
694	63139	73132
695	63214	73023
696	63308	72936
697	63389	72834
698	63471	72733
699	63557	72636
700	63655	72554
701	63748	72465
702	63841	72377
703	63920	72273
704	64020	72193
705	64118	72110
706	64216	72027
707	64320	71951
708	64420	71871
709	64505	71773
710	64602	71690
711	64698	71604
712	64788	71513
713	64882	71424
714	64960	71320
715	65058	71237
716	65157	71155
717	65227	71041
718	65321	70954
719	65408	70858
720	65502	70771
721	65594	70681
722	65679	70585
723	65773	70497
724	65854	70396
725	65948	70308
726	66031	70209
727	66127	70124
728	66220	70035
729	66305	69938
730	66394	69846
731	66509	69780
732	66611	69700
733	66696	69603
734	66756	69480
735	66854	69397
736	66938	69299
737	67024	69204
738	67106	69103
739	67195	69011
740	67290	68924
741	67380	68833
742	67447	68718
743	67529	68618
744	67621	68529
745	67694	68420
746	67790	68335
747	67860	68223
748	67954	68135
749	68028	68028
750	68115	67934
751	68196	67833
752	68296	67752
753	68385	67659
754	68467	67561
755	68568	67479
756	68668	67398
757	68750	67299
758	68846	67214
759	68952	67138
760	69038	67042
761	69134	66956
762	69227	66868
763	69382	66839
764	69465	66741
765	69558	66652
766	69655	66567
767	69756	66486
768	69846	66395
769	69951	66317
770	70030	66215
771	70112	66116
772	70194	66017
773	70296	65936
774	70368	65828
775	70444	65724
776	70521	65619
777	70588	65507
778	70678	65415
779	70773	65329
780	70853	65228
781	70959	65152
782	71052	65063
783	71157	64985
784	71226	64875
785	71308	64776
786	71386	64673
787	71484	64589
788	71580	64504
789	71702	64441
790	71799	64356
791	71893	64268
792	71973	64168
793	72070	64083
794	72167	63997
795	72250	63900
796	72339	63807
797	72425	63712
798	72503	63610
799	72603	63527
800	72702	63444
801	72795	63355
802	72882	63261
803	72972	63170
804	73047	63066
805	73147	62983
806	73211	62869
807	73310	62785
808	73401	62695
809	73499	62610
810	73587	62517
811	73654	62406
812	73745	62316
813	73837	62227
814	73934	62141
815	73995	62025
816	74073	61923
817	74143	61816
818	74228	61721
819	74349	61655
820	74439	61564
821	74533	61476
822	74610	61374
823	74701	61284
824	74786	61188
825	74881	61102
826	74977	61015
827	75062	60920
828	75156	60832
829	75249	60743
830	75354	60664
831	75426	60559
832	75526	60475
833	75629	60394
834	75726	60309
835	75894	60279
836	75986	60189
837	76084	60104
838	76188	60024
839	76279	59934
840	76365	59839
841	76473	59762
842	76550	59660
843	76636	59565
844	76739	59484
845	76857	59414
846	76957	59330
847	77046	59238
848	77148	59156
849	77239	59065
850	77312	58960
851	77418	58881
852	77509	58790
853	77608	58706
854	77703	58618
855	77804	58534
856	77884	58436
857	77979	58348
858	78080	58264
859	78162	58167
860	78242	58068
861	78327	57973
862	78417	57881
863	78502	57786
864	78599	57699
865	78684	57604
866	78783	57519
867	78870	57426
868	78974	57345
869	79071	57258
870	79187	57186
871	79279	57095
872	79371	57005
873	79468	56919
874	79552	56823
875	79651	56738
876	79746	56650
877	79841	56561
878	79938	56475
879	80025	56381
880	80105	56282
881	80190	56188
882	80280	56096
883	80373	56006
884	80465	55916
885	80559	55828
886	80630	55723
887	80702	55619
888	80797	55531
889	80895	55445
890	81008	55369
891	81107	55283
892	81206	55198
893	81293	55104
894	81388	55016
895	81483	54928
896	81563	54830
897	81630	54723
898	81731	54638
899	81824	54549
900	81938	54474
901	82032	54385
902	82207	54350
903	82307	54264
904	82390	54168
905	82536	54113
906	82613	54013
907	82707	53924
908	82801	53834
909	82888	53740
910	82992	53658
911	83085	53568
912	83185	53482
913	83268	53386
914	83365	53299
915	83445	53200
916	83542	53114
917	83638	53025
918	83741	52942
919	83814	52839
920	83910	52751
921	84008	52664
922	84057	52547
923	84147	52455
924	84246	52369
925	84339	52279
926	84432	52189
927	84534	52105
928	84625	52014
929	84717	51923
930	84797	51825
931	84873	51725
932	84973	51639
933	85048	51539
934	85154	51456
935	85263	51376
936	85351	51283
937	85436	51188
938	85542	51107
939	85641	51020
940	85721	50922
941	85815	50833
942	85914	50746
943	86015	50661
944	86100	50566
945	86179	50468
946	86276	50381
947	86379	50297
948	86452	50195
949	86545	50105
950	86626	50008
951	86717	49917
952	86782	49811
953	86876	49722
954	86974	49634
955	87069	49545
956	87155	49451
957	87243	49359
958	87328	49264
959	87430	49179
960	87510	49082
961	87586	48982
962	87665	48885
963	87727	48777
964	87808	48681
965	87905	48593
966	87994	48501
967	88104	48420
968	88195	48330
969	88286	48239
970	88374	48146
971	88463	48054
972	88541	47956
973	88634	47866
974	88713	47769
975	88843	47698
976	88927	47603
977	89017	47512
978	89107	47421
979	89195	47328
980	89290	47239
981	89386	47150
982	89477	47059
983	89546	46957
984	89632	46863
985	89699	46760
986	89787	46667
987	89881	46578
988	89972	46487
989	90108	46419
990	90218	46338
991	90319	46252
992	90412	46162
993	90501	46070
994	90588	45976
995	90675	45883
996	90750	45784
997	90831	45688
998	90927	45600
999	91000	45500
1000	91096	45411
1001	91181	45317
1002	91257	45219
1003	91323	45115
1004	91403	45019
1005	91478	44920
1006	91566	44828
1007	91667	44742
1008	91758	44651
1009	91858	44564
1010	91962	44480
1011	92034	44380
1012	92132	44292
1013	92233	44206
1014	92326	44116
1015	92403	44018
1016	92499	43930
1017	92613	43850
1018	92686	43751
1019	92790	43665
1020	92871	43570
1021	92944	43470
1022	93021	43373
1023	93121	43286
1024	93210	43195
1025	93297	43102
1026	93369	43002
1027	93465	42914
1028	93558	42824
1029	93660	42738
1030	93748	42645
1031	93838	42554
1032	93933	42465
1033	94026	42375
1034	94103	42278
1035	94194	42187
1036	94301	42103
1037	94399	42015
1038	94493	41926
1039	94575	41831
1040	94660	41737
1041	94721	41633
1042	94805	41539
1043	94890	41446
1044	94989	41359
1045	95182	41312
1046	95273	41221
1047	95364	41130
1048	95448	41036
1049	95533	40942
1050	95648	40862
1051	95733	40768
1052	95825	40677
1053	95934	40594
1054	96042	40510
1055	96115	40412
1056	96198	40317
1057	96286	40225
1058	96324	40112
1059	96396	40013
1060	96451	39907
1061	96548	39819
1062	96624	39722
1063	96694	39623
1064	96767	39524
1065	96855	39432
1066	96946	39341
1067	97042	39253
1068	97145	39166
1069	97244	39079
1070	97320	38982
1071	97404	38889
1072	97490	38796
1073	97582	38705
1074	97668	38613
1075	97771	38527
1076	97868	38438
1077	97967	38350
1078	98058	38260
1079	98156	38171
1080	98235	38076
1081	98327	37986
1082	98403	37889
1083	98490	37797
1084	98577	37704
1085	98672	37615
1086	98756	37521
1087	98852	37433
1088	98928	37336
1089	99017	37244
1090	99109	37154
1091	99207	37066
1092	99268	36964
1093	99350	36870
1094	99455	36785
1095	99550	36695
1096	99658	36611
1097	99746	36519
1098	99826	36424
1099	99931	36338
1100	100016	36245
1101	100110	36155
1102	100189	36060
1103	100270	35966
1104	100372	35879
1105	100469	35791
1106	100559	35699
1107	100643	35606
1108	100732	35515
1109	100802	35417
1110	100902	35329
1111	100983	35235
1112	101045	35134
1113	101148	35047
1114	101242	34958
1115	101348	34872
1116	101419	34774
1117	101617	34720
1118	101734	34638
1119	101851	34556
1120	101932	34462
1121	102047	34379
1122	102128	34285
1123	102237	34200
1124	102350	34116
1125	102457	34031
1126	102562	33944
1127	102677	33861
1128	102782	33775
1129	102920	33699
1130	103016	33610
1131	103155	33534
1132	103252	33445
1133	103355	33358
1134	103433	33262
1135	103524	33171
1136	103647	33090
1137	103742	33000
1138	103857	32916
1139	103957	32828
1140	104051	32738
1141	104119	32640
1142	104218	32551
1143	104357	32474
1144	104484	32394
1145	104752	32358
1146	104950	32299
1147	105059	32213
1148	105164	32126
1149	105231	32027
1150	105323	31935
1151	105393	31837
1152	105501	31751
1153	105597	31661
1154	105722	31579
1155	105798	31483
1156	105887	31390
1157	105973	31297
1158	106071	31208
1159	106167	31118
1160	106279	31032
1161	106388	30946
1162	106512	30863
1163	106593	30769
1164	106692	30679
1165	106747	30577
1166	106854	30490
1167	106973	30406
1168	107091	30322
1169	107172	30228
1170	107389	30171
1171	107525	30092
1172	107623	30002
1173	107727	29914
1174	107846	29829
1175	107955	29742
1176	108055	29653
1177	108156	29564
1178	108229	29466
1179	108370	29388
1180	108518	29312
1181	108648	29230
1182	108775	29147
1183	108889	29061
1184	108998	28974
1185	109138	28895
1186	109227	28802
1187	109332	28713
1188	109461	28631
1189	109564	28542
1190	109682	28456
1191	109794	28369
1192	109897	28280
1193	110010	28193
1194	110104	28101
1195	110215	28014
1196	110360	27935
1197	110509	27858
1198	110661	27780
1199	110778	27694
1200	110894	27608
1201	110997	27518
1202	111118	27433
1203	111286	27359
1204	111411	27275
1205	111472	27174
1206	111535	27075
1207	111660	26990
1208	111747	26897
1209	111830	26802
1210	111960	26718
1211	112066	26629
1212	112210	26549
1213	112281	26451
1214	112363	26356
1215	112465	26266
1216	112603	26184
1217	112711	26095
1218	112823	26007
1219	112927	25917
1220	113038	25829
1221	113145	25740
1222	113261	25652
1223	113376	25565
1224	113467	25472
1225	113565	25380
1226	113687	25294
1227	113792	25204
1228	113893	25114
1229	114014	25027
1230	114093	24931
1231	114224	24847
1232	114338	24759
1233	114439	24668
1234	114544	24578
1235	114651	24488
1236	114758	24398
1237	114880	24312
1238	114998	24224
1239	115112	24136
1240	115230	24048
1241	115327	23956
1242	115436	23867
1243	115517	23772
1244	115626	23682
1245	115722	23590
1246	115831	23500
1247	115905	23403
1248	116016	23314
1249	116121	23224
1250	116235	23135
1251	116331	23043
1252	116430	22951
1253	116566	22867
1254	116653	22773
1255	116782	22687
1256	116969	22612
1257	117064	22519
1258	117164	22427
1259	117265	22336
1260	117363	22244
1261	117465	22152
1262	117562	22060
1263	117672	21970
1264	117743	21873
1265	117847	21782
1266	117929	21687
1267	118047	21598
1268	118173	21511
1269	118278	21420
1270	118362	21325
1271	118470	21235
1272	118581	21145
1273	118685	21054
1274	118788	20962
1275	118900	20872
1276	119000	20780
1277	119066	20682
1278	119169	20591
1279	119275	20500
1280	119360	20405
1281	119454	20312
